,Gender_Female,Gender_Male,Gender_No Gender,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Credit_History_0.0,Credit_History_1.0,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Dependents,LoanAmount,Loan_Amount_Term,ApplicantIncome,CoapplicantIncome,Loan_Status
0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,128.0,360,5849,0.0,1
1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,128.0,360,4583,1508.0,0
2,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,66.0,360,3000,0.0,1
3,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,120.0,360,2583,2358.0,1
4,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,141.0,360,6000,0.0,1
5,0,1,0,0,1,1,0,0,1,0,1,0,0,1,2,267.0,360,5417,4196.0,1
6,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,95.0,360,2333,1516.0,1
7,0,1,0,0,1,1,0,1,0,1,0,0,1,0,3,158.0,360,3036,2504.0,0
8,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,168.0,360,4006,1526.0,1
9,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,349.0,360,12841,10968.0,0
10,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,70.0,360,3200,700.0,1
11,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,109.0,360,2500,1840.0,1
12,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,200.0,360,3073,8106.0,1
13,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,114.0,360,1853,2840.0,0
14,0,1,0,0,1,1,0,1,0,0,1,0,0,1,2,17.0,120,1299,1086.0,1
15,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,125.0,360,4950,0.0,1
16,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,100.0,240,3596,0.0,1
17,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,76.0,360,3510,0.0,0
18,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,133.0,360,4887,0.0,0
19,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,115.0,128,2600,3500.0,1
20,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,104.0,360,7660,0.0,0
21,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,315.0,360,5955,5625.0,1
22,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,116.0,360,2600,1911.0,0
23,0,0,1,0,1,0,1,1,0,1,0,1,0,0,2,112.0,360,3365,1917.0,0
24,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,151.0,360,3717,2925.0,0
25,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,191.0,360,9560,0.0,1
26,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,122.0,360,2799,2253.0,1
27,0,1,0,0,1,0,1,1,0,0,1,0,0,1,2,110.0,360,4226,1040.0,1
28,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,35.0,360,1442,0.0,0
29,1,0,0,1,0,1,0,1,0,0,1,0,1,0,2,120.0,360,3750,2083.0,1
30,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,201.0,360,4166,3369.0,0
