index,Numeric_code,country_name,country_code3,country_code2,timestamp,co,no2,o3,pm10,pm25,so2,death_rate
8,32.0,Argentina,ARG,AR,2015,,,,,18.1,,27.685235224074457
9,32.0,Argentina,ARG,AR,2017,0.38999999999999996,0.014333333333333332,,15.666666666666666,,,26.406915181757395
11,40.0,Austria,AUT,AT,2016,482.8181818181818,33.38308457711443,39.63970588235294,19.67515923566879,,2.8735632183908044,14.52957166019294
12,40.0,Austria,AUT,AT,2017,104.41764636363636,12.934065036170214,84.58644117647059,15.200936070975612,,1.7303200322222223,13.40864742229184
16,36.0,Australia,AUS,AU,2016,0.1,0.0024,0.008,,,0.206,4.277293686613882
17,36.0,Australia,AUS,AU,2018,-1428.3,0.004578947368421052,,9.961111111111112,1.9972222222222225,-65.35052941176471,4.235470344020056
18,36.0,Australia,AUS,AU,2019,-50.42727272727273,-955.9729674418604,0.020999999999999998,,,-1304.0461304347825,4.330704882580683
22,70.0,Bosnia and Herzegovina,BIH,BA,2016,531.4,1.6666666666666667,110.0,,,,90.44477097616786
23,70.0,Bosnia and Herzegovina,BIH,BA,2017,,22.0,19.0,,,,86.80712370834118
24,70.0,Bosnia and Herzegovina,BIH,BA,2018,371.7692307692308,27.142857142857142,22.476190476190474,62.52,,26.52,85.68846294457886
28,50.0,Bangladesh,BGD,BD,2015,,,,,6.4,,153.63087731475204
29,50.0,Bangladesh,BGD,BD,2016,,,,,45.5,,149.52704954556208
32,56.0,Belgium,BEL,BE,2016,,,,,,0.75,15.217787011624775
33,56.0,Belgium,BEL,BE,2017,10.9,24.22222222222222,32.035714285714285,19.715500000000002,11.2376,2.152173913043478,14.926712626414467
34,56.0,Belgium,BEL,BE,2018,,20.0,,38.4,19.0,5.5,14.931792379386245
35,56.0,Belgium,BEL,BE,2019,,3.5,,38.7,25.0,,14.89025103958293
48,76.0,Brazil,BRA,BR,2017,0.688,37.728813559322035,75.29629629629629,41.43859649122807,33.13636363636363,4.611111111111111,28.00412811924331
51,124.0,Canada,CAN,CA,2016,,0.002,0.023476190476190477,5.0,1.15,,6.338655964170477
52,124.0,Canada,CAN,CA,2017,,0.0004,0.03725,7.666666666666667,13.6,,6.166747525428953
53,124.0,Canada,CAN,CA,2018,,0.004,0.027571428571428573,9.333333333333334,2.675,0.001,6.338331749638038
54,124.0,Canada,CAN,CA,2019,0.4,0.006,,0.0,4.5,0.0,6.15287712945533
58,756.0,Switzerland,CHE,CH,2018,,10.2542,20.2127,13.7511,,,8.15235152390294
64,152.0,Chile,CHL,CL,2016,588.725,38.464999999999996,335.62333333333333,73.55999999999999,21.387714285714285,1.8687749999999999,27.072056250672187
65,152.0,Chile,CHL,CL,2017,923.5384615384615,2.8772,20.09625,91.65266666666666,9.1875,4.102692307692307,26.24100726662391
66,152.0,Chile,CHL,CL,2018,476.8333333333333,26.171666666666667,45.55,31.1275,26.68,10.062000000000001,26.16618381996352
67,152.0,Chile,CHL,CL,2019,825736.0,68.385,26.37,34.73333333333333,20.335,2.1733333333333333,26.471187094957987
71,156.0,China,CHN,CN,2015,,,,,92.0,,124.34867784665204
72,156.0,China,CHN,CN,2018,707.6301369863014,34.082191780821915,61.73972602739726,66.35616438356165,41.054794520547944,13.273972602739725,109.00005938215196
73,156.0,China,CHN,CN,2019,834.4827586206897,26.137931034482758,94.12,72.34482758620689,44.689655172413794,16.413793103448278,105.92243342313184
77,170.0,Colombia,COL,CO,2016,,,,,10.6,,31.17089482932952
78,170.0,Colombia,COL,CO,2019,-9999.0,0.0131302,0.0115,32.5,20.76707,-9999.0,29.330504419774307
89,203.0,Czechia,CZE,CZ,2016,,14.833333333333334,,49.0,,6.7,31.850776732328125
90,203.0,Czechia,CZE,CZ,2017,476.2857142857143,24.166666666666668,,24.2,19.0,7.019999999999999,30.797550189617088
91,203.0,Czechia,CZE,CZ,2018,135.0,10.360000000000001,100.44,15.2,16.5,5.033333333333334,30.96789827227221
92,203.0,Czechia,CZE,CZ,2019,,23.3,,23.0,7.0,,30.40078620194359
96,276.0,Germany,DEU,DE,2016,450.0,26.70055396,11.105491574444445,30.9541000175,18.55666666666667,2.75,15.036924670946048
97,276.0,Germany,DEU,DE,2017,397.5,27.256025589090907,45.93511617818182,21.513271108571427,12.899599999999998,10.054593024,14.250027665310444
98,276.0,Germany,DEU,DE,2018,283.3333333333333,24.900000000000002,31.845,14.994,11.963333333333333,2.7025,14.135412018937188
99,276.0,Germany,DEU,DE,2019,270.0,16.65,4.333333333333333,18.82,13.870000000000001,0.97,14.032331030825176
103,208.0,Denmark,DNK,DK,2017,150.0,8.09142857142857,37.46,,,1.26,12.771434191728126
104,208.0,Denmark,DNK,DK,2018,0.0,0.0,0.0,,,,12.681939259616597
113,724.0,Spain,ESP,ES,2016,500.0,,,,,,10.829655310286508
114,724.0,Spain,ESP,ES,2017,12575.0,11.25,54.75,21.296666666666667,7.75,2.6666666666666665,10.281328181734708
115,724.0,Spain,ESP,ES,2018,244.77777777777777,19.96385542168675,36.815,11.161481481481482,9.05,5.11340206185567,10.384444290919284
116,724.0,Spain,ESP,ES,2019,823.3333333333334,2.993103448275862,4.015151515151516,14.891428571428573,4.25,0.9,10.370436925312516
123,246.0,Finland,FIN,FI,2016,,,,,3.0,,2.910878753037242
124,246.0,Finland,FIN,FI,2017,,1.69238906,55.518761,0.76638935,3.5,0.19040674999999999,2.6605287755401235
125,246.0,Finland,FIN,FI,2018,,12.281189142857142,43.66623333333333,4.733333333333333,6.153833333333334,0.0136159,2.820215115978282
126,246.0,Finland,FIN,FI,2019,,48.4,0.0,6.3841356000000005,,,3.138402234268333
130,250.0,France,FRA,FR,2016,0.0,37.73125,20.799999999999997,31.99285714285714,37.125,2.6357142857142857,9.822343020219757
131,250.0,France,FRA,FR,2017,284.9625,25.633243243243243,77.0665306122449,22.794634146341465,10.563571428571427,2.0597674418604655,9.391663909994756
132,250.0,France,FRA,FR,2018,160.2,16.956705882352942,64.04776119402985,14.987571428571426,6.9471428571428575,2.7413793103448274,9.361286085495625
133,250.0,France,FRA,FR,2019,166.25,19.7,51.1,18.708,24.96666666666667,1.6349999999999998,9.34478068270888
137,826.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,GB,2016,,16.25,46.333333333333336,13.0,11.2,6.0,11.589451504381682
138,826.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,GB,2017,,31.5,60.0,28.0,25.333333333333332,,11.273325417591671
139,826.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,GB,2018,,24.0,,,,,11.44263279451762
140,826.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,GB,2019,,14.5,71.0,,,,11.192641758106008
144,288.0,Ghana,GHA,GH,2007,,,,58.61666666666667,25.368333333333336,,190.4566270570091
145,288.0,Ghana,GHA,GH,2008,,,,57.586,33.724000000000004,,186.5651706815626
158,191.0,Croatia,HRV,HR,2017,,,,20.05,,,37.45255120298367
159,191.0,Croatia,HRV,HR,2019,,3.4,65.0,16.133333333333333,1.0,,36.93772955837008
163,348.0,Hungary,HUN,HU,2017,385.6159566666667,17.51928523333333,70.82879,22.99169625,,4.162637766666667,45.94439264394104
167,360.0,Indonesia,IDN,ID,2015,,,,,8.8,,112.73881196836538
168,360.0,Indonesia,IDN,ID,2016,,,,,-485.3,,107.34381429994284
171,372.0,Ireland,IRL,IE,2018,0.05735562,42.454060283333334,,31.6,13.833333333333334,1.48986172,7.023412849812717
172,372.0,Ireland,IRL,IE,2019,,27.511955075,,,,1.7955,7.24053409886902
176,376.0,Israel,ISR,IL,2015,,,,,18.85,,22.80489194779589
177,376.0,Israel,ISR,IL,2018,0.5,0.026266666666666664,0.03506666666666667,,,0.00036666666666666667,20.11863396879216
178,376.0,Israel,ISR,IL,2019,0.40173410404624277,0.018870114942528736,0.016108620689655174,,,0.0010706896551724138,19.976183195158097
179,356.0,India,IND,IN,2014,,,,,27.8,,185.81102586298425
180,356.0,India,IND,IN,2015,1620.0,68.235,31.83,342.56,52.905,,179.74593982111458
181,356.0,India,IND,IN,2016,695.0,,13.086666666666666,132.94,115.85714285714286,,171.95529968513463
182,356.0,India,IND,IN,2017,1600.1307142857145,59.31999999999999,56.14,166.99833333333333,57.0,27.052307692307693,167.03729059233137
183,356.0,India,IND,IN,2018,4293.567123287671,59.994285714285716,55.05396825396826,280.8086,141.4752,13.451578947368422,167.21699167144433
184,356.0,India,IND,IN,2019,429.0,10.678749999999999,22.678,37.705714285714286,37.8675,8.232857142857144,164.07868042411124
193,380.0,Italy,ITA,IT,2017,,-999.0,,-999.0,,-999.0,16.24423433100462
194,380.0,Italy,ITA,IT,2019,1000.0,31.2,,48.6,,-9.0,16.501756681718227
200,404.0,Kenya,KEN,KE,2018,,,,5.5,2.65,,127.30552264626596
204,398.0,Kazakhstan,KAZ,KZ,2019,,,,,6.0,,80.07886529115956
213,442.0,Luxembourg,LUX,LU,2018,,18.0,,,,,9.354004619629206
216,428.0,Latvia,LVA,LV,2018,,,,,,1.591248,28.96203630137686
225,807.0,Republic of North Macedonia,MKD,MK,2017,46.46148,,,,,,124.43557462181336
226,807.0,Republic of North Macedonia,MKD,MK,2018,1409.0,30.0,33.0764,,,27.0,121.60060978532736
227,807.0,Republic of North Macedonia,MKD,MK,2019,,,,24.64,,,118.4233819708513
