review,movie_name,label_name,predicted_label_MNB,y_true,y_pred_MNB,predicted_label_knn,y_pred_knn,predicted_label_tfidf_knn,y_pred_tfidf_knn,predicted_label_we_mnb,y_pred_we_mnb,predicted_label_tfidf_svc,y_pred_tfidf_svc,predicted_label_tfidf_rfc,y_pred_tfidf_rfc
"2019's Godzilla: King of the Monsters, does prove that you can have too much of a good thing, however many people, myself included, love it simply because it's what we've wanted to see since we were children, and after the incredibly lifeless 2014 Godzilla, this was a massive improvement in terms of sheer entertainment.  Now, this is NOT a great movie by almost any other metric -- The CGI is good but uneven, the action solid but not quite spectacular, the story is fun but dumb, the dialogue fun but really dumb, the pacing quick but perhaps too quick, and the set-pieces so big that they clearly didn't have the budget to make them longer.  But as a lifelong Godzilla fan, this movie was the movie what I wanted to see with both the 1998 and 2014 movies, and was disappointed when both completely failed to even ATTEMPT it, let alone managed to achieve it.  Godzilla is actually a MUCH better character in this movie than he was in 2014 (where he was just a big and tough lizard), and it's amazing how they infused intelligence into Rodan, Mothra and King Ghidorah, the last of which is the most impressive, as each head is given a different personality, and one even being, more or less, ""the dumb one"".  Things did settle down with Godzilla vs Kong, a less-thrilling but objectively better-crafted film, but this was certainly a lot of fun while it lasted, and any fan of Showa and/or Heisei Godzilla NEEDS to see this movie!",godzilla_king_of_the_monsters_2019,MonsterVerse,MonsterVerse,2,2,MonsterVerse,2,MonsterVerse,2,Marvel Cinematic Universe,1,MonsterVerse,2,MonsterVerse,2
"Shazam!, it's wonderful. It's a very well-directed movie directed by horror maestro David F. Sandberg, with a super-fun comedy and a really tight script, way better than the dark DC movies (my opinion, don't be offended DC fan boy). (8/10)",shazam,DC Extended Universe,DC Extended Universe,0,0,DC Extended Universe,0,Marvel Cinematic Universe,1,MonsterVerse,2,DC Extended Universe,0,Marvel Cinematic Universe,1
"The crimes of Grindelwald is a very good film but at the same time very boring, the idea of ​​returning to Hogwarts is good but at the time of executing it is a bit bad although if in the scene we can see more of Newt's past and why he was expelled of the school in the same we have several holes in the Screenplay, Johnny Depp as Grindelwald is a great performance and gives a very good villain vibe but unfortunately we will no longer have it in the saga we hope Mads Mikkelsen makes a great interpretation, The Fantastic Beasts are A great filler in the plot although if we had to see Newt continue to interact with these animals even so within the plot they are a big filler, I really liked how they evolved Dumbledore and Jude Law makes a great interpretation with the character, even so with all the good things that the movie has said has a lot of holes in the plot and in the franchise canon",fantastic_beasts_the_crimes_of_grindelwald,Wizarding World,Wizarding World,4,4,Marvel Cinematic Universe,1,DC Extended Universe,0,Marvel Cinematic Universe,1,DC Extended Universe,0,MonsterVerse,2
"An entertaining film with a great villain and a new, different and creative take on Spider-Man's character. Tom Holland is good enough in the role. But the real standout here is an extended cameo by Robert Downey Jr. But the main issue here is that it doesn't feel like a spider man film and its more like an MCU solo story rapped into a spider man skin.",spider_man_homecoming,Marvel Cinematic Universe,Marvel Cinematic Universe,1,1,MonsterVerse,2,Marvel Cinematic Universe,1,Star Wars,3,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1
"Captain America: Civil War goes a darker direction than previous Captain America films by introduing a political conflict between the members of The Avengers instead of an out of Earth menace or an evil genius, I think this movie could have been marketed under The Avengers name but for some reason they decided not to, maybe because it was too soon.

Not a lot to say about this movie, it has good action scenes and a well written story, is not a remarkable movie but sure it is above average.",captain_america_civil_war,Marvel Cinematic Universe,Marvel Cinematic Universe,1,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,Star Wars,3,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1
"King of the Monsters, for me, is a big letdown from it's two predecessors in the MonsterVerse and lacks the finesse in the writing, directing and acting that those two movies had and is the only movie to date in the MonsterVerse that I dislike. KotM doesn't have a great story, something that the characters in the movie actually recognize and act based upon. This entire movie is founded on one character causing a global catastrophe because their plan didn't go according to plan, meaning the entire movie was avoidable which makes it feel a bit pointless. In other words, the whole premise of the movie is founded in character stupidity, which really hurts the story and development of the plot. In essence, the fates that certain characters have could've been avoided and the global catastrophe that happens could've been averted. The way that a lot of the characters act based on all of this is actually pretty smart and they do the best they can to get the situation under control. The acting, however, isn't great and makes some moments and scenes feel really off and awkward. Certain lines feel exaggerated which hurts their delivery in the movie, as though they were said improperly or over acted. The kaiju action, however, is great just as it was in the first two movies, which is one redeeming quality of this movie. Watching the big monsters fight each other is entertaining enough to keep viewers somewhat engaged for the full runtime, but the lack of a cohesive story and plot really hampers the movie from reaching the heights of Godzilla and Skull Island. There are (spoiler alert) a bunch of other big monsters that appear in this movie, but they don't seem to do too much for the movie and feel like a hugely missed opportunity. Despite how many of them there are, they feel inconsequential to the progress and development of the movie and the focus really seems to be on Godzilla and Ghidorah. I do like that the humans are given the opportunity to get involved in the fight and lend a helping hand, which they actually do in a bigger way in this movie than they did in any other movie in the MonsterVerse at the time this movie came out. I appreciated this a lot as it shows that sometimes, even the big monsters need some help. Humans play a huge role in this movie, giving it a human-centric perspective which is also nice and another redeeming quality of the movie. Unfortunately, these two highlights aren't enough the save this movie from being a trainwreck compared to the other ones. I don't like the ending too much, since despite the fact that Godzilla (spoiler alert) comes out victorious, it's really only because of the help that the humans gave him. This movie doesn't live up to it's title since Godzilla got his ass beaten in his first two encounters with Ghidorah and likely wouldn't have won the third time either without major assistance due to how powerful Ghidorah is. Godzilla feels like a false, or a rigged, king in this movie which makes the end feel unsatisfying and disappointing. Despite some promise and good moments, KotM falters in huge ways and isn't a great installment in the MonsterVerse.",godzilla_king_of_the_monsters_2019,MonsterVerse,MonsterVerse,2,2,MonsterVerse,2,MonsterVerse,2,Marvel Cinematic Universe,1,MonsterVerse,2,MonsterVerse,2
"Where every movie of the MCU up to now reveled in its American exceptionalism, Captain America Winter Soldier switches everything up. Shadowy government conspiracies, spies, a great Black Widow performance and new characters like Sam Wilson make Captain America instantly more likable than Thor and Iron Man ever were. It's also just well-done as an action film, which is hard to do.",captain_america_the_winter_soldier_2014,Marvel Cinematic Universe,DC Extended Universe,1,0,MonsterVerse,2,DC Extended Universe,0,Star Wars,3,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1
"One of the better installments of the MCU, ""The Avengers"" was a groundbreaking film that changed cinema forever by bringing together these different heroes for the first time. The entire film from start to finish is a blast and an enjoyment to watch, with very memorable lines and a strong performance from its entire cast. The comedy and banter in this movie lands, and the action, especially in the finale, in done very well.",marvels_the_avengers,Marvel Cinematic Universe,DC Extended Universe,1,0,Marvel Cinematic Universe,1,MonsterVerse,2,Star Wars,3,DC Extended Universe,0,Marvel Cinematic Universe,1
"Nick Fury once said that ""There was an idea"" and that ""the idea was to bring together a group of of remarkable people to see if they could become something more"" in which Shang-Chi was able to replicate this.

The film is certainly a breath of fresh air that introduced a brand-new and unfamiliar Marvel superhero that showcased its very well choreographed martial arts along with is well constructed and compelling characters and storyline with excellent performances from the cast especially with Simu Liu and Tony Leung.",shang_chi_and_the_legend_of_the_ten_rings,Marvel Cinematic Universe,Marvel Cinematic Universe,1,1,DC Extended Universe,0,DC Extended Universe,0,MonsterVerse,2,Marvel Cinematic Universe,1,DC Extended Universe,0
"Directed by the brothers Anthony and Joe Russo; ""Avengers: Endgame"" went out in 2019, being the penultimate movie of the third MCU's phase. Starring some of the biggest Hollywood actors like Robert Downey Jr., Chris Evans or Scarlett Johansson, the ,181 minutes long, movie is based on a Stan Lee story. The film took places just after Avengers Infinity War where 50% of the world's population has died. The rest of the superhero group ""Avengers"" tried to finally beat the bad guy Thanos. The Plot can look Utterly complicated but in fact, with all the others MCU movie all take Sens and the plot looks way better and perfectly made. In facts they used all the characters well and give them all a custom end. I loved that movie and in my way it's a stunning, amusing and fast-paced film. The acting is also highly impressive, and the ending is outstanding: it gives goosebumps. We feel the giant budget and it has been used very well when we see the specials effects which are also outstanding. To conclude I'll say that the filming techniques are superb like the close plan at the end or the panorama plans to see all the army. And the photography looks profoundly elaborate as the luminosity or the settings.  So I recommend it as well without hesitation.",avengers_endgame,Marvel Cinematic Universe,Marvel Cinematic Universe,1,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,Marvel Cinematic Universe,1,DC Extended Universe,0
