quote,author,type
"Good, better, best. Never let it rest. 'Til your good is better and your better is best.",St. Jerome,motivational
It always seems impossible until it's done.,Nelson Mandela,motivational
"If you're going through hell, keep going.",Winston Churchill,motivational
Life is 10% what happens to you and 90% how you react to it.,Charles R. Swindoll,motivational
"When something is important enough, you do it even if the odds are not in your favor.",Elon Musk,motivational
Start where you are. Use what you have. Do what you can.,Arthur Ashe,motivational
It does not matter how slowly you go as long as you do not stop.,Confucius,motivational
With the new day comes new strength and new thoughts.,Eleanor Roosevelt,motivational
"If you can dream it, you can do it.",Walt Disney,motivational
Ever tried. Ever failed. No matter. Try Again. Fail again. Fail better.,Samuel Beckett,motivational
Don't watch the clock; do what it does. Keep going.,Sam Levenson,motivational
"If you fell down yesterday, stand up today.",H. G. Wells,motivational
Either you run the day or the day runs you.,Jim Rohn,motivational
Expect problems and eat them for breakfast.,Alfred A. Montapert,motivational
I don't believe you have to be better than everybody else. I believe you have to be better than you ever thought you could be.,Ken Venturi,motivational
Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence.,Helen Keller,motivational
Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.,Thomas A. Edison,motivational
"Aim for the moon. If you miss, you may hit a star.",W. Clement Stone,motivational
A good plan violently executed now is better than a perfect plan executed next week.,George S. Patton,motivational
Knowing is not enough; we must apply. Willing is not enough; we must do.,Johann Wolfgang von Goethe,motivational
Only I can change my life. No one can do it for me.,Carol Burnett,motivational
"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.",Bradley Whitford,motivational
"Set your goals high, and don't stop till you get there.",Bo Jackson,motivational
It's always too early to quit.,Norman Vincent Peale,motivational
"Quality is not an act, it is a habit.",Aristotle,motivational
Failure will never overtake me if my determination to succeed is strong enough.,Og Mandino,motivational
"Keep your eyes on the stars, and your feet on the ground.",Theodore Roosevelt,motivational
The secret of getting ahead is getting started.,Mark Twain,motivational
"Change your life today. Don't gamble on the future, act now, without delay.",Simone de Beauvoir,motivational
Setting goals is the first step in turning the invisible into the visible.,Tony Robbins,motivational
"When you reach the end of your rope, tie a knot in it and hang on.",Franklin D. Roosevelt,motivational
Perseverance is not a long race; it is many short races one after the other.,Walter Elliot,motivational
"By failing to prepare, you are preparing to fail.",Benjamin Franklin,motivational
"Never give up, for that is just the place and time that the tide will turn.",Harriet Beecher Stowe,motivational
"There is only one corner of the universe you can be certain of improving, and that's your own self.",Aldous Huxley,motivational
Do the difficult things while they are easy and do the great things while they are small. A journey of a thousand miles must begin with a single step.,Lao Tzu,motivational
Be kind whenever possible. It is always possible.,Dalai Lama,motivational
I attribute my success to this - I never gave or took any excuse.,Florence Nightingale,motivational
Never complain and never explain.,Benjamin Disraeli,motivational
What you do today can improve all your tomorrows.,Ralph Marston,motivational
"The most effective way to do it, is to do it.",Amelia Earhart,motivational
You can't cross the sea merely by standing and staring at the water.,Rabindranath Tagore,motivational
"Problems are not stop signs, they are guidelines.",Robert H. Schuller,motivational
"Consult not your fears but your hopes and your dreams. Think not about your frustrations, but about your unfulfilled potential. Concern yourself not with what you tried and failed in, but with what it is still possible for you to do.",Pope John XXIII,motivational
You will never win if you never begin.,Helen Rowland,motivational
"A creative man is motivated by the desire to achieve, not by the desire to beat others.",Ayn Rand,motivational
"In order to succeed, we must first believe that we can.",Nikos Kazantzakis,motivational
You just can't beat the person who never gives up.,Babe Ruth,motivational
"Be miserable. Or motivate yourself. Whatever has to be done, it's always your choice.",Wayne Dyer,motivational
Your talent is God's gift to you. What you do with it is your gift back to God.,Leo Buscaglia,motivational
No bird soars too high if he soars with his own wings.,William Blake,motivational
"Where there is a will, there is a way. If there is a chance in a million that you can do something, anything, to keep what you want from ending, do it. Pry the door open or, if need be, wedge your foot in that door and keep it open.",Pauline Kael,motivational
"Opportunity does not knock, it presents itself when you beat down the door.",Kyle Chandler,motivational
Act as if what you do makes a difference. It does.,William James,motivational
"No matter how many goals you have achieved, you must set your sights on a higher one.",Jessica Savitch,motivational
The past cannot be changed. The future is yet in your power.,Unknown,motivational
"Look up at the stars and not down at your feet. Try to make sense of what you see, and wonder about what makes the universe exist. Be curious.",Stephen Hawking,motivational
"Either I will find a way, or I will make one.",Philip Sidney,motivational
"If you want to conquer fear, don't sit home and think about it. Go out and get busy.",Dale Carnegie,motivational
What you get by achieving your goals is not as important as what you become by achieving your goals.,Zig Ziglar,motivational
Ability is what you're capable of doing. Motivation determines what you do. Attitude determines how well you do it.,Lou Holtz,attitude
"Your attitude, not your aptitude, will determine your altitude.",Zig Ziglar,attitude
Attitude is a little thing that makes a big difference.,Winston Churchill,attitude
"People may hear your words, but they feel your attitude.",John C. Maxwell,attitude
A positive attitude can really make dreams come true - it did for me.,David Bailey,attitude
"Excellence is not a skill, it's an attitude.",Ralph Marston,attitude
"You cannot control what happens to you, but you can control your attitude toward what happens to you, and in that, you will be mastering change rather than allowing it to master you.",Brian Tracy,attitude
"For success, attitude is equally as important as ability.",Walter Scott,attitude
"If you are going to achieve excellence in big things, you develop the habit in little matters. Excellence is not an exception, it is a prevailing attitude.",Colin Powell,attitude
"Acting is magical. Change your look and your attitude, and you can be anyone.",Alicia Witt,attitude
"We cannot change our past. We can not change the fact that people act in a certain way. We can not change the inevitable. The only thing we can do is play on the one string we have, and that is our attitude.",Charles R. Swindoll,attitude
Adopting the right attitude can convert a negative stress into a positive one.,Hans Selye,attitude
Reject your sense of injury and the injury itself disappears.,Marcus Aurelius,attitude
Attitude determines the altitude of life.,Edwin Louis Cole,attitude
Weakness of attitude becomes weakness of character.,Albert Einstein,attitude
Some people say I have attitude - maybe I do... but I think you have to. You have to believe in yourself when no one else does - that makes you a winner right there.,Venus Williams,attitude
"Everything can be taken from a man but one thing: the last of human freedoms - to choose one's attitude in any given set of circumstances, to choose one's own way.",Viktor E. Frankl,attitude
"My attitude is, if someone's going to criticize me, tell me to my face.",Simon Cowell,attitude
Your living is determined not so much by what life brings to you as by the attitude you bring to life; not so much by what happens to you as by the way your mind looks at what happens.,Khalil Gibran,attitude
"The secret of genius is to carry the spirit of the child into old age, which means never losing your enthusiasm.",Aldous Huxley,attitude
Time plays a role in almost every decision. And some decisions define your attitude about time.,John Cale,attitude
The greatest discovery of my generation is that a human being can alter his life by altering his attitudes.,William James,attitude
"The attitude is very important. Because, your behavior radiates how you feel.",Lou Ferrigno,attitude
"A positive attitude causes a chain reaction of positive thoughts, events and outcomes. It is a catalyst and it sparks extraordinary results.",Wade Boggs,attitude
"Happiness is an attitude of mind, born of the simple determination to be happy under all outward circumstances.",J. Donald Walters,attitude
Nothing can stop the man with the right mental attitude from achieving his goal; nothing on earth can help the man with the wrong mental attitude.,Thomas Jefferson,attitude
It is in the character of very few men to honor without envy a friend who has prospered.,Aeschylus,attitude
Our attitude toward life determines life's attitude towards us.,John N. Mitchell,attitude
"If your ego starts out, 'I am important, I am big, I am special,' you're in for some disappointments when you look around at what we've discovered about the universe. No, you're not big. No, you're not. You're small in time and in space. And you have this frail vessel called the human body that's limited on Earth.",Neil deGrasse Tyson,attitude
Wearing the correct dress for any occasion is a matter of good manners.,Loretta Young,attitude
You know what's funny to me? Attitude.,Don Rickles,attitude
"My attitude is that if you push me towards something that you think is a weakness, then I will turn that perceived weakness into a strength.",Michael Jordan,attitude
"Our environment, the world in which we live and work, is a mirror of our attitudes and expectations.",Earl Nightingale,attitude
Attitude is everything.,Diane von Furstenberg,attitude
The ideal attitude is to be physically loose and mentally tight.,Arthur Ashe,attitude
Character is the result of two things: mental attitude and the way we spend our time.,Elbert Hubbard,attitude
"Pink isn't just a color, it's an attitude!",Miley Cyrus,attitude
Choosing to be positive and having a grateful attitude is going to determine how you're going to live your life.,Joel Osteen,attitude
Good humor is one of the best articles of dress one can wear in society.,William Makepeace Thackeray,attitude
"Eagles come in all shapes and sizes, but you will recognize them chiefly by their attitudes.",E. F. Schumacher,attitude
Attitudes are more important than facts.,George MacDonald,attitude
"There is little difference in people, but that little difference makes a big difference. The little difference is attitude. The big difference is whether it is positive or negative.",W. Clement Stone,attitude
"Take the attitude of a student, never be too big to ask questions, never know too much to learn something new.",Og Mandino,attitude
Cock your hat - angles are attitudes.,Frank Sinatra,attitude
"When you ain't got no money, you gotta get an attitude.",Richard Pryor,attitude
Having a positive mental attitude is asking how something can be done rather than saying it can't be done.,Bo Bennett,attitude
"It is not the body's posture, but the heart's attitude that counts when we pray.",Billy Graham,attitude
Our future cannot depend on the government alone. The ultimate solutions lie in the attitudes and the actions of the American people.,Joe Biden,attitude
"The meaning of things lies not in the things themselves, but in our attitude towards them.",Antoine de Saint-Exupery,attitude
"I think it's my adventure, my trip, my journey, and I guess my attitude is, let the chips fall where they may.",Leonard Nimoy,attitude
"Civilization is a method of living, an attitude of equal respect for all men.",Jane Addams,attitude
Surfers have the most attitude.,Shaun White,attitude
Bad attitudes will ruin your team.,Terry Bradshaw,attitude
"Between stimulus and response, there is a space where we choose our response.",Stephen Covey,attitude
"There are no menial jobs, only menial attitudes.","William J. Brennan, Jr.",attitude
The reactionary is always willing to take a progressive attitude on any issue that is dead.,Theodore Roosevelt,attitude
What is pride? A rocket that emulates the stars.,William Wordsworth,attitude
"You live in the image you have of the world. Every one of us lives in a different world, with different space and different time.",Alejandro Jodorowsky,attitude
"But the attitude of faith is to let go, and become open to truth, whatever it might turn out to be.",Alan Watts,attitude
Most of us start out with a positive attitude and a plan to do our best.,Marilu Henner,attitude
"Everything has beauty, but not everyone sees it.",Confucius,beauty
Beauty is power; a smile is its sword.,John Ray,beauty
Let us live for the beauty of our own reality.,Charles Lamb,beauty
"There is no definition of beauty, but when you can see someone's spirit coming through, something unexplainable, that's beautiful to me.",Liv Tyler,beauty
Things are beautiful if you love them.,Jean Anouilh,beauty
Real beauty is to be true to oneself. That's what makes me feel good.,Laetitia Casta,beauty
A woman whose smile is open and whose expression is glad has a kind of beauty no matter what she wears.,Anne Roiphe,beauty
The best part of beauty is that which no picture can express.,Francis Bacon,beauty
"Life is full of beauty. Notice it. Notice the bumble bee, the small child, and the smiling faces. Smell the rain, and feel the wind. Live your life to the fullest potential, and fight for your dreams.",Ashley Smith,beauty
There is no cosmetic for beauty like happiness.,Maria Mitchell,beauty
"Never lose an opportunity of seeing anything beautiful, for beauty is God's handwriting.",Ralph Waldo Emerson,beauty
A thing of beauty is a joy forever: its loveliness increases; it will never pass into nothingness.,John Keats,beauty
"When virtue and modesty enlighten her charms, the lustre of a beautiful woman is brighter than the stars of heaven, and the influence of her power it is in vain to resist.",Akhenaton,beauty
The beauty of a woman is not in a facial mode but the true beauty in a woman is reflected in her soul. It is the caring that she lovingly gives the passion that she shows. The beauty of a woman grows with the passing years.,Audrey Hepburn,beauty
A women's greatest asset is her beauty.,Alex Comfort,beauty
There is a kind of beauty in imperfection.,Conrad Hall,beauty
"If the path be beautiful, let us not ask where it leads.",Anatole France,beauty
"We live in a wonderful world that is full of beauty, charm and adventure. There is no end to the adventures that we can have if only we seek them with our eyes open.",Jawaharlal Nehru,beauty
Think of all the beauty still left around you and be happy.,Anne Frank,beauty
To love beauty is to see light.,Victor Hugo,beauty
The soul that sees beauty may sometimes walk alone.,Johann Wolfgang von Goethe,beauty
"Since love grows within you, so beauty grows. For love is the beauty of the soul.",Saint Augustine,beauty
"People are like stained - glass windows. They sparkle and shine when the sun is out, but when the darkness sets in, their true beauty is revealed only if there is a light from within.",Elisabeth Kubler-Ross,beauty
Beauty is the promise of happiness.,Edmund Burke,beauty
Beauty is in the heart of the beholder.,H. G. Wells,beauty
Beauty awakens the soul to act.,Dante Alighieri,beauty
Integrity reveals beauty.,Thomas Leonard,beauty
She got her looks from her father. He's a plastic surgeon.,Groucho Marx,beauty
"In life, as in art, the beautiful moves in curves.",Edward G. Bulwer-Lytton,beauty
"Character contributes to beauty. It fortifies a woman as her youth fades. A mode of conduct, a standard of courage, discipline, fortitude, and integrity can do a great deal to make a woman beautiful.",Jacqueline Bisset,beauty
It is time for parents to teach young people early on that in diversity there is beauty and there is strength.,Maya Angelou,beauty
"Beauty of whatever kind, in its supreme development, invariably excites the sensitive soul to tears.",Edgar Allan Poe,beauty
Gorgeous hair is the best revenge.,Ivana Trump,beauty
In every man's heart there is a secret nerve that answers to the vibrations of beauty.,Christopher Morley,beauty
Inner beauty should be the most important part of improving one's self.,Priscilla Presley,beauty
Beauty is truth's smile when she beholds her own face in a perfect mirror.,Rabindranath Tagore,beauty
Beauty is a fragile gift.,Ovid,beauty
Beauty in things exists in the mind which contemplates them.,David Hume,beauty
"The more often we see the things around us - even the beautiful and wonderful things - the more they become invisible to us. That is why we often take for granted the beauty of this world: the flowers, the trees, the birds, the clouds - even those we love. Because we see things so often, we see them less and less.",Joseph B. Wirthlin,beauty
Zest is the secret of all beauty. There is no beauty that is attractive without zest.,Christian Dior,beauty
"Beauty is unbearable, drives us to despair, offering us for a minute the glimpse of an eternity that we should like to stretch out over the whole of time.",Albert Camus,beauty
"Beauty is worse than wine, it intoxicates both the holder and beholder.",Aldous Huxley,beauty
Beauty is whatever gives joy.,Edna St. Vincent Millay,beauty
It is easy to be beautiful; it is difficult to appear so.,Hosea Ballou,beauty
Rare is the union of beauty and purity.,Juvenal,beauty
Personal beauty is a greater recommendation than any letter of reference.,Aristotle,beauty
Beauty is not caused. It is.,Emily Dickinson,beauty
Beauty has a lot to do with character.,Kevyn Aucoin,beauty
It is amazing how complete is the delusion that beauty is goodness.,Leo Tolstoy,beauty
The absence of flaw in beauty is itself a flaw.,Havelock Ellis,beauty
Beauty is a short-lived tyranny.,Socrates,beauty
"I heard the old, old, men say 'all that's beautiful drifts away, like the waters.'",William Butler Yeats,beauty
It is not sufficient to see and to know the beauty of a work. We must feel and be affected by it.,Voltaire,beauty
A witty woman is a treasure; a witty beauty is a power.,George Meredith,beauty
Beauty is that which is simultaneously attractive and sublime.,Karl Wilhelm Friedrich Schlegel,beauty
"You can't really say what is beautiful about a place, but the image of the place will remain vividly with you.",Tadao Ando,beauty
"Beauty is only temporary, but your mind lasts you a lifetime.",Alicia Machado,beauty
"There is hope and a kind of beauty in there somewhere, if you look for it.",H. R. Giger,beauty
Taking joy in living is a woman's best cosmetic.,Rosalind Russell,beauty
"What beauty is, I know not, though it adheres to many things.",Albrecht Durer,beauty
