,words,0,1,2,3,4,5,6,7,8,9
0,aberr,1.216812988142226,1.4087556436095328,-0.34921608370590085,0.4169216749512944,-0.494207088456606,-0.4215423183324419,0.16316648187024532,0.09763892094927913,0.035072019868654616,0.09400872369182875
1,absolut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,abt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,acc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,acidif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,activ,0.38680843829714295,-0.06833601986595982,0.8383786029431488,-0.5232647515145689,0.26589910874700634,-0.4118808720155162,-0.025426225641159185,0.025092214702649218,-0.7878643385324273,-1.0418528902945934
7,activist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,actnow,0.7147500930833965,-0.5508196173532398,0.2101572085945237,-0.24665832497456705,-0.08409398951494568,0.4317897031770705,0.44557630101335144,-0.23277009282231223,-0.2842463115148545,-0.6119104419014364
9,actual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,acweyand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,adam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,adapt,0.2249673694113865,0.08076631231440794,0.4613954700258124,-0.490848884119306,0.1532714067716932,-0.03194187326263373,-0.27270269140715125,-0.5716973183770966,-0.6355702181249662,0.2378010480554335
13,addit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,admit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,aesg,0.11867910116258948,-0.05782282515134382,-0.21145621913808915,0.38918297859458173,-0.11595363758462854,-0.2598399869862808,-0.2811658839460299,-0.01844684194433512,-0.21640876437059303,1.6460835350184968
16,affect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,afford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,african,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,agaton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,air,0.4924475567589643,-0.14442336516386048,1.0012081858611288,-1.1471485824841654,0.07039947713905538,-0.19612938897703733,0.2989157648949047,0.012488822208461436,0.15402865420598927,-0.7891930190193474
23,aircon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,aleutian,-0.18995339888587462,0.036132580993556734,-0.1271997753141454,-0.059817630148018726,-0.5785970125073973,-0.2918492402966691,-0.16392697699370662,0.0034062182470926583,0.5830318777261319,-0.12141930587222817
25,aliv,0.05678096771043188,0.12635201705930113,0.46994133200072,0.36569164149150873,-1.124045289361131,-0.09681341049973707,-0.0675820898642204,-0.6377320046358086,-1.1053535964091719,0.07491390573964847
26,allow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,almost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,alreadi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,also,-0.11983343518733136,-0.07284739554799216,0.20527975982055202,-0.18906208701343044,-0.04129358565512712,0.1688454406965131,0.5983995451834198,-0.07950938268379283,0.7336469622299583,-1.3340062800535561
30,alway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,amaz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,amp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,anger,1.5418437922712271,1.853372970424616,-0.6325855112964434,-0.000619120236629155,0.33023684476626747,-0.6090486171452568,0.9187723265470426,0.34703332953154337,-0.022173906852865556,-0.7888396537118152
35,anglia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,anti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,anxieti,0.08226277836251582,0.13936655746724655,0.45597851890664637,0.5431921880264076,-1.1767731579113518,0.045849045686323336,-0.08953512109863139,-0.667213254361407,-1.2064698178850124,-0.058401690463149164
38,anyth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,app,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,appar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,appreci,0.38680843829714295,-0.06833601986595982,0.8383786029431488,-0.5232647515145689,0.26589910874700634,-0.4118808720155162,-0.025426225641159185,0.025092214702649218,-0.7878643385324273,-1.0418528902945934
42,april,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
