word_1,word_2,count_word_1,count_word_2,count_of_co-occurrences,PMI
puerto,rico,1938,1311,1159,10.0349081703
hong,kong,2438,2694,2205,9.72831972408
los,angeles,3501,2808,2791,9.56067615065
carbon,dioxide,4265,1353,1032,9.09852946116
prize,laureate,5131,1676,1210,8.85870710982
san,francisco,5237,2477,1779,8.83305176711
nobel,prize,4098,5131,2498,8.68948811416
ice,hockey,5607,3002,1933,8.6555759741
star,trek,8264,1594,1489,8.63974676575
car,driver,5578,2749,1384,8.41470768304
it,the,283891,3293296,3347,-1.72037278119
are,of,234458,1761436,1019,-2.09254205335
this,the,199882,3293296,1211,-2.38612756961
is,of,565679,1761436,1562,-2.54614706831
and,of,1375396,1761436,2949,-2.79911817902
a,and,984442,1375396,1457,-2.92239510038
in,and,1187652,1375396,1537,-3.05660070757
to,and,1025659,1375396,1286,-3.08825363041
to,in,1025659,1187652,1066,-3.12911348956
of,and,1761436,1375396,1190,-3.70663100173
x,y,10,20,5,0
